Tanggal,Premium,Medium
01/01/2020,10000,9000
02/01/2020,10000,9000
03/01/2020,10000,9000
04/01/2020,10000,9000
05/01/2020,10000,9000
06/01/2020,10000,9000
07/01/2020,10000,9000
08/01/2020,10000,9000
09/01/2020,10000,9000
10/01/2020,10000,9000
11/01/2020,10000,9000
12/01/2020,10000,9000
13/01/2020,10000,9000
14/01/2020,10000,9000
15/01/2020,10000,9000
16/01/2020,10000,9000
17/01/2020,10333,9500
18/01/2020,10333,9500
19/01/2020,10000,9500
20/01/2020,10333,9500
21/01/2020,10333,9500
22/01/2020,10333,9500
23/01/2020,10333,9500
24/01/2020,10333,9500
25/01/2020,10333,9500
26/01/2020,10333,9500
27/01/2020,10333,9500
28/01/2020,11000,9500
29/01/2020,11000,9500
30/01/2020,10333,9500
31/01/2020,10333,9500
01/02/2020,10333,9500
02/02/2020,10333,9500
03/02/2020,10333,9500
04/02/2020,10333,9500
05/02/2020,10333,9500
06/02/2020,10333,9500
07/02/2020,10500,9500
08/02/2020,10333,9500
09/02/2020,10333,9500
10/02/2020,10333,9500
11/02/2020,10333,9500
12/02/2020,10333,9500
13/02/2020,10333,9500
14/02/2020,10333,9500
15/02/2020,10333,9500
16/02/2020,10333,9500
17/02/2020,10333,9500
18/02/2020,10333,9500
19/02/2020,11000,9500
20/02/2020,10000,9500
21/02/2020,10000,9500
22/02/2020,10000,9500
23/02/2020,10000,9500
24/02/2020,10000,9500
25/02/2020,10333,9500
26/02/2020,10000,9500
27/02/2020,10000,9500
28/02/2020,10000,9500
29/02/2020,10000,9500
01/03/2020,10000,9500
02/03/2020,11000,9500
03/03/2020,10111,9500
04/03/2020,10333,9500
05/03/2020,10333,9500
06/03/2020,10333,9500
07/03/2020,10333,9500
08/03/2020,10333,9500
09/03/2020,11000,9500
10/03/2020,11000,9500
11/03/2020,11000,10000
12/03/2020,11000,10000
13/03/2020,11000,10000
14/03/2020,11000,10000
15/03/2020,11000,10000
16/03/2020,11000,10000
17/03/2020,11000,10000
18/03/2020,11000,10000
19/03/2020,11000,10000
20/03/2020,11000,10000
21/03/2020,11000,10000
22/03/2020,11000,10000
23/03/2020,11000,10000
24/03/2020,11000,10000
25/03/2020,11000,10000
26/03/2020,11000,10000
27/03/2020,11000,10000
28/03/2020,11000,10000
29/03/2020,11000,10000
30/03/2020,11000,10000
31/03/2020,11000,10000
01/04/2020,11000,10000
02/04/2020,11000,10000
03/04/2020,9833,9333
04/04/2020,9833,9333
05/04/2020,9833,9333
06/04/2020,9750,9250
07/04/2020,9833,9333
08/04/2020,9833,9333
09/04/2020,9833,9333
10/04/2020,9833,9333
11/04/2020,9833,9333
12/04/2020,9833,9333
13/04/2020,9833,9333
14/04/2020,9833,9333
15/04/2020,9750,9333
16/04/2020,9833,9333
17/04/2020,9833,9333
18/04/2020,9833,9333
19/04/2020,9833,9333
20/04/2020,9833,9333
21/04/2020,9833,9333
22/04/2020,9833,9333
23/04/2020,9833,9333
24/04/2020,9833,9333
25/04/2020,9833,9333
26/04/2020,9833,9333
27/04/2020,10000,9333
28/04/2020,10000,9333
29/04/2020,10000,9333
30/04/2020,10000,9333
01/05/2020,10000,9333
02/05/2020,10000,9333
03/05/2020,10000,9333
04/05/2020,10000,9333
05/05/2020,10000,9333
06/05/2020,10000,9333
07/05/2020,10000,9333
08/05/2020,10000,9333
09/05/2020,10000,9333
10/05/2020,10000,9333
11/05/2020,10000,9333
12/05/2020,10000,9333
13/05/2020,10000,9333
14/05/2020,10000,9333
15/05/2020,10000,9333
16/05/2020,10000,9333
17/05/2020,10000,9333
18/05/2020,10000,9333
19/05/2020,10000,9333
20/05/2020,10000,9333
21/05/2020,10000,9333
22/05/2020,10000,9333
23/05/2020,10000,9333
24/05/2020,10000,9333
25/05/2020,10000,9333
26/05/2020,10000,9333
27/05/2020,10000,9333
28/05/2020,10000,9333
29/05/2020,10000,9250
30/05/2020,10000,9250
31/05/2020,10000,9250
01/06/2020,10000,9250
02/06/2020,10000,9333
03/06/2020,10000,9333
04/06/2020,10000,9333
